"Ekstern finansering - Overblik, årshjul og tematikker",,,,,,,,,,,,,,,,,,
Fond,Link:,Stikord,Deadline. Ansøgning,Størrelse,Ansøgt om,Techcollege. Tidligere og eksisterende projekter,Attraktive EUD,Trivsel,"Bæredygtighed, Demokrati",STEM,Iværksætteri,Byggebranchen,Fællesskab,"Teknologi, digitalisering og markedsføring",Grøn omstilling,Anlægsprojekter,Piger i EUD/STEM,Viden og uddannelse
Ebbefos Fonden,https://ebbefosfonden.dk/om-ebbefos-fonden/,"Fondens mission er at være et modtræk til mistrivsel. Visionen er et samfund, hvor alle trives og har mulighed for at udvikle sig og indgå i positive fællesskaber.Der er ingen tvivl om, at den stigende mistrivsel er en kompleks samfundsudfordring, som ikke lader sig løse af velfærdsstaten alene eller af en enkelt aktør. At dæmme op for den stigende mistrivsel kræver samarbejde på tværs af sektorer, herunder inddragelse af civilsamfundet.","29. februar 2024",,,,,,,,,,,,,,,
Egmont Fonden,https://www.egmontfonden.dk/,Støtter initiativer der støtter udsatte børn og unge. Ordblindhed - socialskævhed skal minimeres,,,"Historisk: PX har været med i et projekt fra VIA, som har søgt midler",,,,,,,,,,,,,
Fabrikant Mads Clausens Fond,https://www.danfoss.com/da-dk/about-danfoss/company/foundations/the-fabrikant-mads-clausen-foundation/,"Der gives primært donationer til universiteter og andre højrere læreanstalter til indkøb af udstyr til forskning, udvikling og undervisning inden for teknik og naturvidenskab. Det tages med i betragtning, hvorvidt de projekter, der søges støtte til, har relation til Danfoss' forretningsområder.",,,,,,,,,,,,,,,,
FLS gavefond,https://www.flsmidth.com/en-gb/company/about-us/donation-fund,Education and training with a business focus,1. oktober,u. 50.000,,,,,,,,,,,,,,
Fonden for Entreprenørskab,https://www.ffe-ye.dk/soeg-stoette/uddannelsesinstitutioner,Projekter og aktiviteter inden for undervisning og uddannelse i entreprenørskab, marts og september,u. 100.000,,,,,,,x,,,,,,,
Grundejernes Investeringsfond,https://gi.dk/fond-og-udvikling/hvad-st%C3%B8tter-gi,"Udvikling af de byggefaglige kompetencer på alle niveauer – korte, mellemlange og videregående uddannelser. GI har særligt fokus på at støtte udvikling af tværfaglig forståelse og effektive samarbejdsformer",4 x yearly - se https://gi.dk/fond-og-udvikling/ans%C3%B8gning,ca. 500.000 kr.,,,,,,,,,,,,,,
Hedorfs Fond,https://hedorf.dk/,"Uddannelse og innovation indenfor godstransport, logistik og handel (evt. lastvognsmekaniker)",1. april & 1. oktober,,,,,,,,,,,,,,,
Illum Fondet,https://www.koda.dk/medlem/sog-stotte/private-fonde/illum-fondet,"Til gavn for erhvervsmæssige, videnskabelige, tekniske, arkitektoniske og kunstneriske formål, samt andre samfundsgavnlige formål. Støtte kan ydes til institutioner, undervisningsanstalter, selskaber og foreninger samt enkeltpersoner",running,10-25.000,,,,,,x,,x,,x,,,x,
Industriens Fond,https://www.industriensfond.dk/,"Internationalisering, at skabe og bringe viden i anvendelse, at introducere nye teknologier, at innovere, at sikre relevante kompetencer",running efter dialog,o. 1.000.000,,,,,,,,,,,,,,
Johan Heinrich Hoffmann og hustrus Mindefond,https://johanhoffmann.dk/,"Med særligt henblik på forskning og uddannelse i bygge- og anlægsvirksomhed. Støtten gives hovedsageligt som støtte til indkøb af udstyr, indretning af lokaler m.v.",Ingen - vurdering 3-4 gange yearly,u. 500.000,,,,,,,,x,,,,,,
